# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 14.5016640315 0.0
120.1 22.082715037 20.982715037 14.4642628457 0.0
120.2 22.0845223383 20.9845223383 14.4269619345 0.0
120.3 22.0863281367 20.9863281367 14.3897611212 0.0
120.4 22.0881324346 20.9881324346 14.3526602279 0.0
120.5 22.0899352346 20.9899352346 14.315659076 0.0
120.6 22.091736539 20.991736539 14.2787574858 0.0
120.7 22.0935363505 20.9935363505 14.2419552769 0.0
120.8 22.0953346714 20.9953346714 14.2052522679 0.0
120.9 22.0971315043 20.9971315043 14.1686482765 0.0
121.0 22.0989268516 20.9989268516 14.1321431196 0.0
121.1 22.1007207157 21.0007207157 14.0957366133 0.0
121.2 22.1025130992 21.0025130992 14.0594285728 0.0
121.3 22.1043040043 21.0043040043 14.0232188127 0.0
121.4 22.1060934337 21.0060934337 13.9871071465 0.0
121.5 22.1078813897 21.0078813897 13.9510933872 0.0
121.6 22.1096678747 21.0096678747 13.9151773469 0.000114771031792
121.7 22.1114528912 21.0114528912 13.8793588371 0.0
121.8 22.1132364415 21.0132364415 13.8436376683 0.0
121.9 22.1150185281 21.0150185281 13.8080136507 0.0
122.0 22.1167991534 21.0167991534 13.7724865935 0.0
122.1 22.1185783197 21.0185783197 13.7370563053 0.0
122.2 22.1203560295 21.0203560295 13.7017225941 0.0
122.3 22.1221322852 21.0221322852 13.666485267 0.0
122.4 22.123907089 21.023907089 13.6313441309 0.0
122.5 22.1256804435 21.0256804435 13.5962989917 0.0
122.6 22.1274523509 21.0274523509 13.5613496549 0.0
122.7 22.1292228136 21.0292228136 13.5264959253 0.0
122.8 22.130991834 21.030991834 13.4917376071 0.0
122.9 22.1327594144 21.0327594144 13.4570745041 0.0
123.0 22.1345255572 21.0345255572 13.4225064193 0.000114757860913
123.1 22.1362902647 21.0362902647 13.3880331555 0.0
123.2 22.1380535391 21.0380535391 13.3536545146 0.0
123.3 22.139815383 21.039815383 13.3193702981 0.0
123.4 22.1415757985 21.0415757985 13.2851803073 0.0
123.5 22.143334788 21.043334788 13.2510843425 0.0
123.6 22.1450923538 21.0450923538 13.217082204 0.0
123.7 22.1468484981 21.0468484981 13.1831736913 0.0
123.8 22.1486032234 21.0486032234 13.1493586036 0.0
123.9 22.1503565319 21.0503565319 13.1156367398 0.0
124.0 22.1521084258 21.0521084258 13.0820078979 0.0
124.1 22.1538589075 21.0538589075 13.0484718761 0.000115593572997
124.2 22.1556079792 21.0556079792 13.0150284717 0.0
124.3 22.1573556432 21.0573556432 12.9816774819 0.0
124.4 22.1591019018 21.0591019018 12.9484187035 0.0
124.5 22.1608467572 21.0608467572 12.9152519326 0.000116890707189
124.6 22.1625902116 21.0625902116 12.8821769655 0.000116522955022
124.7 22.1643322674 21.0643322674 12.8491935977 0.0
124.8 22.1660729267 21.0660729267 12.8163016246 0.0
124.9 22.1678121919 21.0678121919 12.7835008412 0.0
125.0 22.169550065 21.069550065 12.7507910421 0.0
125.1 22.1712865485 21.0712865485 12.7181720218 0.0
125.2 22.1730216444 21.0730216444 12.6856435743 0.0
125.3 22.174755355 21.074755355 12.6532054935 0.0
125.4 22.1764876825 21.0764876825 12.620857573 0.0
125.5 22.1782186291 21.0782186291 12.588599606 0.0
125.6 22.179948197 21.079948197 12.5564313855 0.00034969110619
125.7 22.1816763884 21.0816763884 12.5243527045 0.000233372228705
125.8 22.1834032055 21.0834032055 12.4923633554 0.000116945386505
125.9 22.1851286505 21.0851286505 12.4604631307 0.0
126.0 22.1868527256 21.0868527256 12.4286518224 0.000116795141322
126.1 22.1885754329 21.0885754329 12.3969292226 0.0
126.2 22.1902967745 21.0902967745 12.365295123 0.000116645281698
126.3 22.1920167528 21.0920167528 12.3337493152 0.0
126.4 22.1937353697 21.0937353697 12.3022915906 0.0
126.5 22.1954526276 21.0954526276 12.2709217405 0.0
126.6 22.1971685284 21.0971685284 12.2396395559 0.000233672157962
126.7 22.1988830744 21.0988830744 12.2084448278 0.0
