# N l b R fracMedian appU appV Au Av SNR
1 95.3440734471 -61.2835329394 145.2 0.000133481905951 22.6874897773 21.5770067117 0.19265669547 0.182173629887 6.94652351766
2 99.9082712555 -62.1733175948 147.3 0.000132119911036 22.687467384 21.5786821757 0.161453649756 0.152668441461 6.94277448209
3 104.722343218 -62.9063377544 133.2 0.000126178791237 22.690105645 21.5692880003 0.382584520802 0.361766876169 6.94096207551
4 109.752610824 -63.4695115428 151.2 0.000129737396689 22.6865441381 21.5808968551 0.103785182228 0.0981378992768 6.94588993497
5 114.950797418 -63.851798131 151.0 0.000128276262303 22.6864886053 21.5806879487 0.106603868874 0.100803212187 6.94688620497
6 120.255752214 -64.0451605136 150.2 0.000126692862178 22.6867222504 21.5802812202 0.11837258704 0.111931556843 6.94573546653
7 125.597410955 -64.0453544449 144.4 0.0001234988865 22.6876081537 21.5764658455 0.204772187546 0.193629879378 6.94672709458
8 130.902511204 -63.8523756065 137.4 0.000118891927991 22.6889258154 21.5718405005 0.313992151823 0.296906836869 6.94567195386
9 136.100976192 -63.4704600701 129.7 0.000111721644001 22.6910082271 21.5669952317 0.441308346689 0.417295351297 6.93813861663
10 141.131632624 -62.9076379538 141.7 0.000118040216132 22.6888636572 21.5754228151 0.247014405951 0.233573563881 6.93782235125
11 145.946175613 -62.174945011 147.1 0.000119139089048 22.6874616006 21.5785161679 0.164398236983 0.155452804301 6.94321843455
12 150.510897182 -61.285460022 149.2 0.000118773851115 22.6878975568 21.5806032813 0.134053441091 0.126759165586 6.93435516708
13 154.806344861 -60.2533398708 148.7 0.000117454821721 22.6868680545 21.5792331649 0.140313211856 0.132678322249 6.94689381093
14 158.825506669 -59.0929815161 147.2 0.000115729901185 22.6868952433 21.5780609247 0.162356193308 0.153521874739 6.94941658865
15 162.571242354 -57.8183786026 147.7 0.000114873678243 22.6870784575 21.5786348372 0.155175980981 0.146732360678 6.94640371313
16 166.053571238 -56.4426853059 147.9 0.000113948743834 22.6882112166 21.5798658466 0.153370346567 0.145024976593 6.93326178248
17 169.2872162 -54.9779637259 147.2 0.000112672957513 22.6879267985 21.5790363497 0.163387748469 0.154497299692 6.93778637289
18 172.289596996 -53.4350746099 148.3 0.000112327648194 22.6867519948 21.5788051528 0.146046239631 0.138099397688 6.94895499845
19 175.079315573 -51.8236690122 141.9 0.000107855608557 22.6884378079 21.5751867904 0.243525830656 0.230274813101 6.94222977895
20 177.675089027 -50.1522441887 133.8 0.000100714005418 22.6902714867 21.5699758605 0.372990919538 0.352695293363 6.93785105697
21 180.095048524 -48.4282355136 136.4 0.000102068696299 22.689008421 21.5710555194 0.329936569408 0.311983667813 6.94676497984
22 182.356316143 -46.6581246767 136.8 0.000101626394278 22.6893890448 21.5717614259 0.323958557844 0.306330938935 6.94166149457
23 184.474781271 -44.847551209 132.5 9.68820020909e-05 22.6899660819 21.5685334501 0.393886690512 0.372454058759 6.94399170521
24 186.465013201 -43.0014196943 108.5 4.37024998254e-05 22.6946894458 21.5493882466 0.832540754899 0.787239555724 6.94548006209
25 188.340262259 -41.1239985192 125.3 8.63813475481e-05 22.6912821937 21.5631763201 0.51652683869 0.48842096512 6.94455321926
26 190.112515163 -39.2190083668 100.5 0.0 22.6955318544 21.5411349032 0.999701545611 0.94530459439 6.95673384144
27 191.792580882 -37.2897000867 93.1 0.0 22.6990481734 21.5354228417 1.16929976851 1.10567443678 6.93763627061
28 193.390191205 -35.3389223841 106.8 3.29930838971e-05 22.6953280924 21.5481261821 0.867471828982 0.820269918598 6.94256421304
29 194.914105832 -33.3691801903 128.3 8.82487219733e-05 22.6902323992 21.5649792852 0.464099117294 0.438846003346 6.94988030498
30 196.372215747 -31.3826847477 141.6 0.000100767066521 22.6892963426 21.5757485422 0.248980075829 0.235432275388 6.93314499599
31 197.771641284 -29.381396469 146.7 0.000103767399311 22.687672652 21.5783940013 0.170522082746 0.161243432075 6.94159817922
32 199.118823023 -27.3670615776 135.6 9.50886291102e-05 22.6894328393 21.5707618021 0.34313439168 0.324463354461 6.94360771122
33 200.419604778 -25.3412434539 134.3 9.36468608229e-05 22.6892416928 21.5694428205 0.363861629479 0.344062757108 6.94843073925
34 201.679308658 -23.3053494688 122.0 7.67809983593e-05 22.6928035699 21.5614613315 0.576004416533 0.544662178155 6.93473331563
35 202.902802505 -21.260654087 104.4 0.0 22.6961156308 21.5461853718 0.917613137439 0.867682878457 6.93984290921
36 204.094560375 -19.2083187508 116.1 6.35166704861e-05 22.6926628346 21.5554713241 0.683501735926 0.646310225368 6.94989214048
37 205.258716694 -17.1494091399 87.8 0.0 22.6988952175 21.5283527248 1.296422638 1.22588014528 6.95505121876
38 206.39911484 -15.0849102212 44.4 0.0 22.7128761754 21.4610110636 2.79096132487 2.63909621301 6.97409991893
53 222.801306119 16.0056739054 147.7 0.000108229508095 22.6882506331 21.5797432309 0.156348156491 0.147840754378 6.9331948332
54 223.983057615 18.0515688863 140.0 0.000104184589365 22.6894404708 21.5745421231 0.273800292369 0.258901944743 6.934674018
55 225.194444723 20.0891323986 144.2 0.0001077053413 22.6886331653 21.5772713175 0.208806863334 0.197445015581 6.93555969732
56 226.439565085 22.117220015 145.9 0.000109433698663 22.68850367 21.5785336927 0.183227210492 0.173257233277 6.93375862969
57 227.722836381 24.134581676 146.8 0.000110781179446 22.6883092531 21.5790764786 0.169678975176 0.160446200678 6.93423646839
58 229.049043648 26.1398441487 150.3 0.000113299575138 22.6868984981 21.5805265178 0.117103595212 0.11073161491 6.94356226123
59 230.423391035 28.1314909743 148.7 0.00011344416621 22.6875601716 21.5798876217 0.141005328987 0.133332779078 6.9390913253
60 231.851558133 30.1078393858 147.9 0.000114027280233 22.6877478559 21.5794276989 0.152906985953 0.14458682891 6.93848050957
61 233.339760929 32.0670137908 147.2 0.000114715147373 22.6880491655 21.5791520584 0.163510115538 0.154613008378 6.93640794478
